epoch,accuracy,loss,val_accuracy,val_loss
0,0.7752809,0.6638189554214478,1.0,0.5695596933364868
1,0.92134833,0.57991623878479,1.0,0.5073455572128296
2,0.92134833,0.5169812440872192,1.0,0.4462907314300537
3,0.9325843,0.45668238401412964,1.0,0.3885784447193146
4,0.94382024,0.4003928005695343,1.0,0.3332183361053467
5,0.9775281,0.34535229206085205,1.0,0.2834743559360504
6,0.9775281,0.2953173518180847,1.0,0.23617549240589142
7,0.98876405,0.24803024530410767,1.0,0.1941092163324356
8,0.98876405,0.20603471994400024,1.0,0.15698735415935516
9,0.98876405,0.16854240000247955,1.0,0.12531910836696625
10,1.0,0.1355247050523758,1.0,0.09894467145204544
11,1.0,0.10748592019081116,1.0,0.0772465243935585
12,1.0,0.0841669887304306,1.0,0.05968635156750679
13,1.0,0.06511338800191879,1.0,0.045785628259181976
14,1.0,0.05001744627952576,1.0,0.03488984704017639
15,1.0,0.038094501942396164,1.0,0.026514550670981407
16,1.0,0.02891949564218521,1.0,0.020143723115324974
17,1.0,0.021968647837638855,1.0,0.015329212881624699
18,1.0,0.016722746193408966,1.0,0.011697586625814438
19,1.0,0.012776235118508339,1.0,0.009002020582556725
20,1.0,0.009841842576861382,1.0,0.006945786997675896
21,1.0,0.007616134360432625,1.0,0.00539060402661562
22,1.0,0.005941559094935656,1.0,0.00421447679400444
23,1.0,0.004680105485022068,1.0,0.0033266188111156225
24,1.0,0.0037258099764585495,1.0,0.0026538714300841093
25,1.0,0.0029989664908498526,1.0,0.002141444245353341
26,1.0,0.0024423201102763414,1.0,0.0017518592067062855
27,1.0,0.002016267506405711,1.0,0.0014493507333099842
28,1.0,0.001682740869000554,1.0,0.0012099863961338997
29,1.0,0.0014164726017042994,1.0,0.0010234970832243562
0,0.5280899,0.7030120491981506,0.8695651888847351,0.614821195602417
1,0.92134833,0.6224551796913147,0.95652174949646,0.5421748757362366
2,0.9325843,0.5496218204498291,0.95652174949646,0.4743434190750122
3,0.94382024,0.4833226501941681,0.95652174949646,0.4169270098209381
4,0.9550562,0.42710962891578674,1.0,0.3634818196296692
5,0.96629214,0.3747026324272156,1.0,0.3136158287525177
6,0.96629214,0.32554447650909424,1.0,0.26630711555480957
7,0.9775281,0.2787109613418579,1.0,0.22381025552749634
8,0.9775281,0.23593874275684357,1.0,0.18592356145381927
9,0.98876405,0.19739164412021637,1.0,0.15292121469974518
10,0.98876405,0.1633245348930359,1.0,0.12441349029541016
11,1.0,0.13359799981117249,1.0,0.10013603419065475
12,1.0,0.10795370489358902,1.0,0.07973381876945496
13,1.0,0.08610524237155914,1.0,0.06269413232803345
14,1.0,0.06779200583696365,1.0,0.04877254366874695
15,1.0,0.0527307353913784,1.0,0.037812985479831696
16,1.0,0.04067739099264145,1.0,0.02921776846051216
17,1.0,0.031222771853208542,1.0,0.022563841193914413
18,1.0,0.023959403857588768,1.0,0.01748114638030529
19,1.0,0.018404852598905563,1.0,0.013647401705384254
20,1.0,0.014168118126690388,1.0,0.010742899030447006
21,1.0,0.011008478701114655,1.0,0.008487303741276264
22,1.0,0.008595040999352932,1.0,0.00675180833786726
23,1.0,0.0067586577497422695,1.0,0.005433021578937769
24,1.0,0.005376019049435854,1.0,0.004405176267027855
25,1.0,0.0043045454658567905,1.0,0.0036137031856924295
26,1.0,0.003488678950816393,1.0,0.002986727748066187
27,1.0,0.002846566028892994,1.0,0.0024915202520787716
28,1.0,0.0023451256565749645,1.0,0.002103908685967326
29,1.0,0.0019558032508939505,1.0,0.0017908551963046193
0,0.7977528,0.623841343970781,0.95652174949646,0.47908976674079895
1,0.94382024,0.43299154016409025,0.95652174949646,0.3294850289821625
2,0.94382024,0.2978146052762364,0.95652174949646,0.21297475695610046
3,0.96629214,0.1925255311339089,1.0,0.12835749983787537
4,0.98876405,0.1150219997998034,1.0,0.07113397121429443
5,1.0,0.06535983253061102,1.0,0.03902270644903183
6,1.0,0.0353567385732123,1.0,0.021555418148636818
7,1.0,0.020049938408846266,1.0,0.01232000533491373
8,1.0,0.012129409866554013,1.0,0.007411557715386152
9,1.0,0.007026344909217585,1.0,0.004729037173092365
10,1.0,0.0046984218453381505,1.0,0.0031831369269639254
11,1.0,0.00314401878106795,1.0,0.0022654663771390915
12,1.0,0.002237769097529268,1.0,0.001696832594461739
13,1.0,0.001727023282287161,1.0,0.0013286855537444353
14,1.0,0.0013468733392237278,1.0,0.0010841591283679008
15,1.0,0.0011130275346699766,1.0,0.0009134507272392511
16,1.0,0.0009222419231376621,1.0,0.0007936318870633841
17,1.0,0.0007941644067164469,1.0,0.0007052160217426717
18,1.0,0.0007140570532091046,1.0,0.0006370378541760147
19,1.0,0.0006432970043983352,1.0,0.0005840489757247269
20,1.0,0.0005824937585877317,1.0,0.0005420568049885333
21,1.0,0.0005366193618510295,1.0,0.0005079268012195826
22,1.0,0.0005032347771600726,1.0,0.00047914229799062014
23,1.0,0.00047321694385092915,1.0,0.00045446815784089267
24,1.0,0.00044396045693625394,1.0,0.00043326924787834287
25,1.0,0.00042352797345812903,1.0,0.00041414384031668305
26,1.0,0.00040319824481403895,1.0,0.0003968541568610817
27,1.0,0.00038357841091628156,1.0,0.0003814783412963152
28,1.0,0.0003674321630027857,1.0,0.0003671625454444438
29,1.0,0.00035255138233848167,1.0,0.00035384506918489933
0,0.4057971,0.7005422711372375,0.9666666388511658,0.6279451847076416
1,0.98550725,0.6184170246124268,1.0,0.5562295317649841
2,0.95652175,0.5474013090133667,0.9666666388511658,0.4939979612827301
3,0.95652175,0.48655518889427185,0.9666666388511658,0.4390489161014557
4,0.95652175,0.4327825605869293,0.9666666388511658,0.3906073272228241
5,0.95652175,0.3834848403930664,0.9666666388511658,0.34535136818885803
6,0.95652175,0.337396502494812,0.9666666388511658,0.3029685318470001
7,0.95652175,0.2948829233646393,0.9666666388511658,0.2640754282474518
8,0.95652175,0.2557167708873749,0.9666666388511658,0.2281685769557953
9,0.95652175,0.22005634009838104,0.9666666388511658,0.19527682662010193
10,0.95652175,0.18761172890663147,0.9666666388511658,0.16579781472682953
11,0.95652175,0.15822379291057587,0.9666666388511658,0.13943155109882355
12,0.95652175,0.13176687061786652,1.0,0.11614277958869934
13,1.0,0.10833912342786789,1.0,0.0960254967212677
14,1.0,0.08793853968381882,1.0,0.07877914607524872
15,1.0,0.07076697051525116,1.0,0.06415197998285294
16,1.0,0.05658812075853348,1.0,0.05211702361702919
17,1.0,0.04510972276329994,1.0,0.04233481362462044
18,1.0,0.03585442155599594,1.0,0.0343744233250618
19,1.0,0.02854994870722294,1.0,0.027987515553832054
20,1.0,0.022823143750429153,1.0,0.02285062149167061
21,1.0,0.018304983153939247,1.0,0.01872623711824417
22,1.0,0.0147471372038126,1.0,0.015410203486680984
23,1.0,0.011940491385757923,1.0,0.01274449285119772
24,1.0,0.00973558984696865,1.0,0.010600825771689415
25,1.0,0.008009609766304493,1.0,0.008884129114449024
26,1.0,0.006639435887336731,1.0,0.007495530415326357
27,1.0,0.0055473241955041885,1.0,0.006368468981236219
28,1.0,0.0046770405024290085,1.0,0.005452038254588842
29,1.0,0.003985161893069744,1.0,0.0047018323093652725
0,0.8115942,0.6350556326949078,0.9666666388511658,0.45795726776123047
1,0.95652175,0.41294770396274066,0.9666666388511658,0.3062087893486023
2,0.95652175,0.2721289445956548,0.9666666388511658,0.2046647071838379
3,0.95652175,0.17715182252552197,0.9666666388511658,0.1401187628507614
4,0.95652175,0.11514609188273334,0.9666666388511658,0.09375748783349991
5,0.9710145,0.06744753623354262,0.9666666388511658,0.059797294437885284
6,1.0,0.04166412105162939,1.0,0.036776233464479446
7,1.0,0.02536184366360523,1.0,0.023884328082203865
8,1.0,0.015770469886669213,1.0,0.016351573169231415
9,1.0,0.010699211012410082,1.0,0.011609026230871677
10,1.0,0.007726735563651807,1.0,0.008564458228647709
11,1.0,0.005530033117173699,1.0,0.0065293703228235245
12,1.0,0.004238162676051286,1.0,0.005140172317624092
13,1.0,0.003347669100469869,1.0,0.00418322766199708
14,1.0,0.0027311830313208147,1.0,0.0035070052836090326
15,1.0,0.002226895747193392,1.0,0.0029903093818575144
16,1.0,0.001957648287382166,1.0,0.002563012996688485
17,1.0,0.0016544788807590046,1.0,0.002249098150059581
18,1.0,0.0014577534136639072,1.0,0.002006166148930788
19,1.0,0.0013231231765214193,1.0,0.0018116533756256104
20,1.0,0.0011883565710614557,1.0,0.0016531964065507054
21,1.0,0.0010900898380803983,1.0,0.001519866636954248
22,1.0,0.0009997606774023566,1.0,0.001412370358593762
23,1.0,0.0009334331115351761,1.0,0.0013228956377133727
24,1.0,0.0008611664095002672,1.0,0.0012414444936439395
25,1.0,0.0008190513050278136,1.0,0.0011555366218090057
26,1.0,0.0007602858076216248,1.0,0.0010845797369256616
27,1.0,0.0007171843122520933,1.0,0.0010232838103547692
28,1.0,0.0006714592708031769,1.0,0.0009710973245091736
29,1.0,0.0006375984386608436,1.0,0.0009213303565047681
0,0.9527027010917664,0.5808203220367432,0.9375,0.4636763036251068
1,0.9662162065505981,0.4319407343864441,0.9375,0.3473891615867615
2,0.9662162065505981,0.3205939531326294,0.9375,0.2647850513458252
3,0.9662162065505981,0.2339250147342682,0.9375,0.19957643747329712
4,0.9662162065505981,0.1674749255180359,0.9375,0.14945249259471893
5,0.9662162065505981,0.11787661910057068,0.9375,0.11171028017997742
6,0.9662162065505981,0.08343902975320816,0.9375,0.08042813837528229
7,0.9662162065505981,0.05629061907529831,0.96875,0.05618797987699509
8,1.0,0.0386376716196537,1.0,0.03760773688554764
9,1.0,0.026649069041013718,1.0,0.025281725451350212
10,1.0,0.017820412293076515,1.0,0.01741918921470642
11,1.0,0.012690665200352669,1.0,0.012236750684678555
12,1.0,0.009232273325324059,1.0,0.008860860951244831
13,1.0,0.006922186352312565,1.0,0.006587550044059753
14,1.0,0.005234466399997473,1.0,0.005006969906389713
15,1.0,0.004097659140825272,1.0,0.0038898868951946497
16,1.0,0.003206999506801367,1.0,0.0030709654092788696
17,1.0,0.0025745138991624117,1.0,0.0024653058499097824
18,1.0,0.0021575952414423227,1.0,0.002011634176596999
19,1.0,0.0018124983180314302,1.0,0.0016659038374200463
20,1.0,0.001536807045340538,1.0,0.0014057108201086521
21,1.0,0.0013372852699831128,1.0,0.0012027777265757322
22,1.0,0.001177962520159781,1.0,0.0010436178417876363
23,1.0,0.0010261980351060629,1.0,0.0009189940756186843
24,1.0,0.0009305058047175407,1.0,0.0008181626326404512
25,1.0,0.0008448507287539542,1.0,0.0007368990918621421
26,1.0,0.0007712002843618393,1.0,0.0006703928811475635
27,1.0,0.0007137684151530266,1.0,0.0006146131781861186
28,1.0,0.0006579142645932734,1.0,0.0005676174187101424
29,1.0,0.0006193917361088097,1.0,0.0005265545914880931
0,0.9054054021835327,0.5314492583274841,0.9375,0.36260849237442017
1,0.9662162065505981,0.2796318531036377,0.9375,0.19986525177955627
2,0.9662162065505981,0.1327429562807083,0.96875,0.07539926469326019
3,1.0,0.05061515048146248,1.0,0.02594883367419243
4,1.0,0.01911979168653488,1.0,0.009039705619215965
5,1.0,0.007929019629955292,1.0,0.0040087345987558365
6,1.0,0.004033584147691727,1.0,0.002170789986848831
7,1.0,0.0024308220017701387,1.0,0.001387762720696628
8,1.0,0.0015582299092784524,1.0,0.0009824475273489952
9,1.0,0.0010970677249133587,1.0,0.0007593685295432806
10,1.0,0.0008792659500613809,1.0,0.0006281360401771963
11,1.0,0.0007337780552916229,1.0,0.0005461323307827115
12,1.0,0.0006190233980305493,1.0,0.0004869720432907343
13,1.0,0.0005532694049179554,1.0,0.00044595851795747876
14,1.0,0.0004991255118511617,1.0,0.0004083387029822916
15,1.0,0.0004527023993432522,1.0,0.000377669814042747
16,1.0,0.00041710512596182525,1.0,0.000352526200003922
17,1.0,0.00038560948451049626,1.0,0.000332178664393723
18,1.0,0.000360609294148162,1.0,0.0003134645812679082
19,1.0,0.00033760422957129776,1.0,0.00029559381073340774
20,1.0,0.00031681606196798384,1.0,0.0002777929767034948
21,1.0,0.0002971324429381639,1.0,0.00026148499455302954
22,1.0,0.0002803090028464794,1.0,0.00024839359684847295
23,1.0,0.00026410561986267567,1.0,0.0002357753401156515
24,1.0,0.00025113383890129626,1.0,0.00022507368703372777
25,1.0,0.0002367095003137365,1.0,0.00021605062647722661
26,1.0,0.00022553055896423757,1.0,0.0002066167362499982
27,1.0,0.00021235282474663109,1.0,0.00019845127826556563
28,1.0,0.00020283371850382537,1.0,0.00019046160741709173
29,1.0,0.0001923004601849243,1.0,0.0001830868422985077
0,0.9256756901741028,0.6312568187713623,0.953125,0.5496871471405029
1,0.9594594836235046,0.5183950066566467,0.953125,0.44897133111953735
2,0.9594594836235046,0.41901159286499023,0.953125,0.3586193323135376
3,0.9594594836235046,0.3313530385494232,0.953125,0.2786216139793396
4,0.9594594836235046,0.2524883449077606,0.953125,0.20921671390533447
5,0.9594594836235046,0.1869245171546936,0.953125,0.15420249104499817
6,0.9594594836235046,0.1360073834657669,0.953125,0.11186076700687408
7,0.9594594836235046,0.09736046940088272,0.953125,0.0806751400232315
8,0.9729729890823364,0.07040351629257202,0.984375,0.05810591205954552
9,0.9864864945411682,0.0497421994805336,1.0,0.04157004505395889
10,1.0,0.035868264734745026,1.0,0.030318016186356544
11,1.0,0.026142947375774384,1.0,0.022510306909680367
12,1.0,0.019020695239305496,1.0,0.017053505405783653
13,1.0,0.013903957791626453,1.0,0.013085097074508667
14,1.0,0.01086763571947813,1.0,0.010219298303127289
15,1.0,0.008534001186490059,1.0,0.008030255325138569
16,1.0,0.0067505305632948875,1.0,0.006385997869074345
17,1.0,0.005224915686994791,1.0,0.005137401632964611
18,1.0,0.004263183567672968,1.0,0.0041388217359781265
19,1.0,0.0033942493610084057,1.0,0.0033574404660612345
20,1.0,0.0028227108996361494,1.0,0.002743888646364212
21,1.0,0.0023152874782681465,1.0,0.0022699637338519096
22,1.0,0.0018935499247163534,1.0,0.00190270587336272
23,1.0,0.0015889049973338842,1.0,0.001612829859368503
24,1.0,0.0013775676488876343,1.0,0.0013815420679748058
25,1.0,0.0011894855415448546,1.0,0.0011998680420219898
26,1.0,0.0010282857110723853,1.0,0.0010556811466813087
27,1.0,0.0009077469003386796,1.0,0.0009393619257025421
